Model,Accuracy,Precision,Recall,F1,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
Controlled Decision Tree,0.8033,0.7838,0.8788,0.8286,0.7679781420765027,0.0682290276568263,0.7633565613293276,0.0678338871793953,0.8418560606060606,0.0684247041647732,0.7984176616670895,0.0517825164542056
Random Forest,0.7541,0.7647,0.7879,0.7761,0.8246994535519125,0.0369654057127053,0.8325745542119286,0.0477936319048316,0.8535984848484848,0.0814272806354261,0.8399632734643134,0.0385360490127088
